u,v,contact_count,duration_seconds,first_time,last_time,weight
1426,1574,1,20,56960,56960,0.31600653265148854
1426,1578,36,720,35200,127060,0.6830381443859841
1426,1585,59,1180,32180,147720,0.7342587129460318
1426,1592,21,420,32120,137740,0.6271957224548713
1426,1628,2,40,47080,47160,0.3854506105818549
1426,1630,1,20,57960,57960,0.31600653265148854
1426,1656,41,820,130500,136940,0.6965194651944911
1426,1664,1,20,132540,132540,0.31600653265148854
1426,1665,1,20,131280,131280,0.31600653265148854
1426,1666,1,20,131360,131360,0.31600653265148854
1426,1673,12,240,130400,132920,0.5692950854209973
1426,1684,5,100,50420,133680,0.4790269285669295
1426,1695,2,40,43380,133080,0.3854506105818549
1426,1696,1,20,130780,130780,0.31600653265148854
1426,1698,1,20,131280,131280,0.31600653265148854
1426,1700,3,60,50060,137020,0.42668859322200425
1426,1705,3,60,47160,132780,0.42668859322200425
1426,1708,1,20,129580,129580,0.31600653265148854
1426,1730,1,20,132660,132660,0.31600653265148854
1426,1749,2,40,129400,137000,0.3854506105818549
1426,1750,12,240,118440,142980,0.5692950854209973
1426,1751,3,60,130680,131780,0.42668859322200425
1426,1761,2,40,47300,133880,0.3854506105818549
1426,1765,2,40,130180,130200,0.3854506105818549
1426,1780,3,60,46120,50480,0.42668859322200425
1426,1782,1,20,137040,137040,0.31600653265148854
1426,1787,1,20,129800,129800,0.31600653265148854
1426,1797,4,80,47160,132920,0.4561223208851435
1426,1798,1,20,57980,57980,0.31600653265148854
1426,1824,23,460,32200,145640,0.6366167070813586
1426,1833,3,60,44480,50460,0.42668859322200425
1426,1837,10,200,35800,131220,0.5504571011940145
1426,1866,1,20,47260,47260,0.31600653265148854
1426,1885,1,20,50560,50560,0.31600653265148854
1426,1895,1,20,131720,131720,0.31600653265148854
1426,1902,1,20,129620,129620,0.31600653265148854
1426,1912,1,20,132300,132300,0.31600653265148854
1427,1428,4,80,126120,146780,0.4561223208851435
1427,1429,100,2000,31620,147380,0.7889883698268714
1427,1430,4,80,36840,52820,0.4561223208851435
1427,1431,63,1260,35620,146740,0.7410618096034531
1427,1434,20,400,35540,141820,0.6221438686148343
1427,1435,5,100,52320,126740,0.4790269285669295
1427,1437,44,880,39560,147120,0.7038406028908673
1427,1439,13,260,55500,147420,0.577569991929958
1427,1441,8,160,35540,146700,0.527424910548402
1427,1443,45,900,36820,147740,0.7061705572255972
1427,1451,1,20,147540,147540,0.31600653265148854
1427,1452,1,20,35920,35920,0.31600653265148854
1427,1453,2,40,36300,36340,0.3854506105818549
1427,1457,10,200,35260,36280,0.5504571011940145
1427,1458,3,60,34820,35840,0.42668859322200425
1427,1461,1,20,57900,57900,0.31600653265148854
1427,1465,151,3020,31600,147300,0.8317458141612463
1427,1471,11,220,35640,146660,0.5603028760303012
1427,1475,16,320,35620,145660,0.599047349799237
1427,1477,3,60,35860,36420,0.42668859322200425
1427,1479,1,20,147520,147520,0.31600653265148854
1427,1480,7,140,56800,125520,0.5136570630934635
1427,1482,12,240,36220,147400,0.5692950854209973
1427,1486,15,300,32080,126700,0.5923701214603585
1427,1489,2,40,51300,126840,0.3854506105818549
1427,1498,2,40,36060,36400,0.3854506105818549
1427,1502,5,100,35380,35540,0.4790269285669295
1427,1511,1,20,35580,35580,0.31600653265148854
1427,1522,3,60,35260,35520,0.42668859322200425
1427,1563,52,1040,37200,147440,0.7211618725252504
1427,1578,14,280,35600,126380,0.5852336270669158
1427,1585,8,160,57500,146720,0.527424910548402
1427,1592,37,740,35740,147320,0.6858781329659501
1427,1630,1,20,57860,57860,0.31600653265148854
1427,1650,1,20,147640,147640,0.31600653265148854
1427,1668,1,20,147500,147500,0.31600653265148854
1427,1682,1,20,147700,147700,0.31600653265148854
1427,1707,1,20,147600,147600,0.31600653265148854
1427,1709,1,20,147600,147600,0.31600653265148854
1427,1745,1,20,147700,147700,0.31600653265148854
1427,1750,7,140,117400,147340,0.5136570630934635
1427,1751,1,20,147520,147520,0.31600653265148854
1427,1798,1,20,57960,57960,0.31600653265148854
1427,1824,16,320,39400,145680,0.599047349799237
1427,1851,1,20,147640,147640,0.31600653265148854
1427,1852,1,20,147660,147660,0.31600653265148854
1428,1429,9,180,42600,143040,0.5395785563918402
1428,1430,4,80,35820,36820,0.4561223208851435
1428,1431,16,320,36700,141800,0.599047349799237
1428,1434,2,40,127000,141700,0.3854506105818549
1428,1435,4,80,36700,126940,0.4561223208851435
1428,1437,19,380,43200,137300,0.6168334979266865
1428,1439,14,280,42760,141780,0.5852336270669158
1428,1441,4,80,145220,145400,0.4561223208851435
1428,1443,4,80,40220,133880,0.4561223208851435
1428,1451,4,80,31580,36480,0.4561223208851435
1428,1452,8,160,43160,47740,0.527424910548402
1428,1453,1,20,44840,44840,0.31600653265148854
1428,1457,16,320,130000,133140,0.599047349799237
1428,1458,4,80,129720,137140,0.4561223208851435
1428,1459,3,60,32080,44640,0.42668859322200425
1428,1461,1,20,35680,35680,0.31600653265148854
1428,1465,8,160,126320,137340,0.527424910548402
1428,1468,7,140,35360,133560,0.5136570630934635
1428,1471,19,380,31540,47840,0.6168334979266865
1428,1475,4,80,40100,142040,0.4561223208851435
1428,1477,18,360,43120,131360,0.611236718692761
1428,1480,15,300,42760,140040,0.5923701214603585
1428,1482,10,200,41280,141800,0.5504571011940145
1428,1483,8,160,129720,132820,0.527424910548402
1428,1486,42,840,32200,136040,0.6990176629747723
1428,1489,11,220,33620,147760,0.5603028760303012
1428,1493,2,40,130140,136980,0.3854506105818549
1428,1495,11,220,32080,35200,0.5603028760303012
1428,1498,46,920,32080,132580,0.7084493558277674
1428,1500,8,160,35880,137040,0.527424910548402
1428,1501,1,20,143040,143040,0.31600653265148854
1428,1502,1,20,47280,47280,0.31600653265148854
1428,1516,1,20,36220,36220,0.31600653265148854
1428,1520,42,840,32080,137120,0.6990176629747723
1428,1522,2,40,45360,45820,0.3854506105818549
1428,1525,2,40,36260,36400,0.3854506105818549
1428,1528,2,40,35760,36100,0.3854506105818549
1428,1533,2,40,45440,131340,0.3854506105818549
1428,1545,2,40,130820,130900,0.3854506105818549
1428,1548,1,20,36080,36080,0.31600653265148854
1428,1549,3,60,135320,135420,0.42668859322200425
1428,1551,1,20,45560,45560,0.31600653265148854
1428,1552,1,20,47340,47340,0.31600653265148854
1428,1560,1,20,47240,47240,0.31600653265148854
1428,1563,26,520,31540,141800,0.6493162459026266
1428,1567,2,40,45360,46380,0.3854506105818549
1428,1578,21,420,36660,125900,0.6271957224548713
1428,1579,3,60,46340,129980,0.42668859322200425
1428,1585,39,780,35440,133160,0.6913351113744413
1428,1592,8,160,31540,136940,0.527424910548402
1428,1628,1,20,47060,47060,0.31600653265148854
1428,1656,29,580,129460,137040,0.6606299868059717
1428,1664,1,20,131920,131920,0.31600653265148854
1428,1665,3,60,131180,131960,0.42668859322200425
1428,1666,1,20,131420,131420,0.31600653265148854
1428,1668,1,20,36620,36620,0.31600653265148854
1428,1673,3,60,43500,131220,0.42668859322200425
1428,1695,2,40,130700,133100,0.3854506105818549
1428,1696,1,20,130180,130180,0.31600653265148854
1428,1697,2,40,130000,131500,0.3854506105818549
1428,1698,2,40,130680,131520,0.3854506105818549
1428,1700,1,20,130000,130000,0.31600653265148854
1428,1705,3,60,47240,132780,0.42668859322200425
1428,1708,1,20,43520,43520,0.31600653265148854
1428,1709,1,20,137180,137180,0.31600653265148854
1428,1714,1,20,47140,47140,0.31600653265148854
1428,1730,2,40,47240,130560,0.3854506105818549
1428,1749,1,20,43160,43160,0.31600653265148854
1428,1751,2,40,130060,130700,0.3854506105818549
1428,1761,3,60,43320,43500,0.42668859322200425
1428,1775,2,40,43260,43520,0.3854506105818549
1428,1802,5,100,43140,43780,0.4790269285669295
1428,1821,2,40,44120,137160,0.3854506105818549
1428,1824,10,200,41500,147760,0.5504571011940145
1428,1833,1,20,45620,45620,0.31600653265148854
1428,1837,5,100,35880,130220,0.4790269285669295
1428,1847,5,100,43360,131140,0.4790269285669295
1428,1851,1,20,130000,130000,0.31600653265148854
1428,1857,2,40,136380,136940,0.3854506105818549
1428,1912,1,20,130680,130680,0.31600653265148854
1429,1430,9,180,36700,58340,0.5395785563918402
1429,1431,75,1500,32060,147360,0.7591456673901623
1429,1434,11,220,35660,144520,0.5603028760303012
1429,1435,5,100,36340,143020,0.4790269285669295
1429,1437,62,1240,35820,142680,0.7394023800591815
1429,1439,36,720,37340,125580,0.6830381443859841
1429,1441,3,60,53120,126600,0.42668859322200425
1429,1443,30,600,36460,147260,0.6641428468550955
1429,1451,1,20,143040,143040,0.31600653265148854
1429,1452,2,40,36140,50280,0.3854506105818549
1429,1453,40,800,35900,50020,0.6939596534072261
1429,1457,56,1120,35120,50100,0.7288467952546315
1429,1458,1,20,36240,36240,0.31600653265148854
1429,1465,58,1160,35600,145040,0.7324859096940134
1429,1471,20,400,35620,128960,0.6221438686148343
1429,1475,16,320,35620,145720,0.599047349799237
1429,1477,2,40,35520,35680,0.3854506105818549
1429,1480,18,360,42820,127040,0.611236718692761
1429,1482,22,440,41240,146080,0.6320130653029771
1429,1486,5,100,56980,126800,0.4790269285669295
1429,1489,375,7500,35320,147740,0.9261421127087582
1429,1495,1,20,35600,35600,0.31600653265148854
1429,1498,1,20,36080,36080,0.31600653265148854
1429,1502,9,180,35360,50160,0.5395785563918402
1429,1503,1,20,35820,35820,0.31600653265148854
1429,1511,2,40,35260,35680,0.3854506105818549
1429,1521,2,40,43080,57800,0.3854506105818549
1429,1522,4,80,35260,50140,0.4561223208851435
1429,1533,2,40,44260,56640,0.3854506105818549
1429,1551,15,300,48380,49860,0.5923701214603585
1429,1552,3,60,44640,47960,0.42668859322200425
1429,1560,2,40,46840,46860,0.3854506105818549
1429,1563,56,1120,35320,146640,0.7288467952546315
1429,1567,1,20,45540,45540,0.31600653265148854
1429,1572,1,20,46300,46300,0.31600653265148854
1429,1578,23,460,35620,145680,0.6366167070813586
1429,1585,10,200,42600,142820,0.5504571011940145
1429,1592,8,160,36300,142640,0.527424910548402
1429,1653,1,20,43080,43080,0.31600653265148854
1429,1665,1,20,43280,43280,0.31600653265148854
1429,1695,2,40,43500,43520,0.3854506105818549
1429,1700,3,60,45280,46920,0.42668859322200425
1429,1708,3,60,43400,50100,0.42668859322200425
1429,1711,1,20,43240,43240,0.31600653265148854
1429,1723,1,20,43180,43180,0.31600653265148854
1429,1730,3,60,44060,49840,0.42668859322200425
1429,1731,1,20,57900,57900,0.31600653265148854
1429,1750,5,100,125800,143020,0.4790269285669295
1429,1757,2,40,50420,57480,0.3854506105818549
1429,1761,1,20,43300,43300,0.31600653265148854
1429,1764,1,20,43280,43280,0.31600653265148854
1429,1770,1,20,125900,125900,0.31600653265148854
1429,1775,1,20,43140,43140,0.31600653265148854
1429,1815,2,40,36040,44640,0.3854506105818549
1429,1819,1,20,57820,57820,0.31600653265148854
1429,1824,4,80,53100,59820,0.4561223208851435
1429,1837,3,60,36460,56640,0.42668859322200425
1429,1855,1,20,43680,43680,0.31600653265148854
1429,1857,1,20,43620,43620,0.31600653265148854
1429,1895,1,20,43560,43560,0.31600653265148854
1429,1916,1,20,43680,43680,0.31600653265148854
1430,1431,15,300,35560,61160,0.5923701214603585
1430,1434,4,80,32080,59900,0.4561223208851435
1430,1435,7,140,31580,58240,0.5136570630934635
1430,1437,4,80,34880,56500,0.4561223208851435
1430,1439,3,60,36840,56640,0.42668859322200425
1430,1443,9,180,36500,58160,0.5395785563918402
1430,1451,1,20,36360,36360,0.31600653265148854
1430,1453,1,20,36460,36460,0.31600653265148854
1430,1458,1,20,34940,34940,0.31600653265148854
1430,1461,1,20,35640,35640,0.31600653265148854
1430,1465,1,20,56700,56700,0.31600653265148854
1430,1468,3,60,35300,35720,0.42668859322200425
1430,1471,4,80,32080,61160,0.4561223208851435
1430,1475,7,140,52380,59680,0.5136570630934635
1430,1477,1,20,35360,35360,0.31600653265148854
1430,1480,1,20,56900,56900,0.31600653265148854
1430,1482,30,600,31560,59980,0.6641428468550955
1430,1483,2,40,35200,57980,0.3854506105818549
1430,1489,2,40,31580,59680,0.3854506105818549
1430,1500,2,40,35760,36320,0.3854506105818549
1430,1502,1,20,36460,36460,0.31600653265148854
1430,1516,1,20,36280,36280,0.31600653265148854
1430,1520,2,40,35660,35700,0.3854506105818549
1430,1525,1,20,36380,36380,0.31600653265148854
1430,1528,3,60,36240,36380,0.42668859322200425
1430,1548,1,20,35800,35800,0.31600653265148854
1430,1551,1,20,56920,56920,0.31600653265148854
1430,1563,2,40,36840,56500,0.3854506105818549
1430,1578,2,40,58020,61120,0.3854506105818549
1430,1585,6,120,35280,59680,0.49777959356083784
1430,1707,2,40,56900,56920,0.3854506105818549
1430,1824,25,500,34900,61140,0.6452532963865709
1430,1837,6,120,35760,36460,0.49777959356083784
1431,1434,43,860,36980,142740,0.7014571432333434
1431,1435,16,320,32080,145280,0.599047349799237
1431,1437,42,840,35880,142820,0.6990176629747723
1431,1439,41,820,36200,141780,0.6965194651944911
1431,1441,1,20,145080,145080,0.31600653265148854
1431,1443,31,620,36700,146260,0.6675406987820569
1431,1452,3,60,35900,36240,0.42668859322200425
1431,1453,45,900,33160,47000,0.7061705572255972
1431,1457,24,480,35600,44340,0.6410248050598301
1431,1458,1,20,36080,36080,0.31600653265148854
1431,1459,2,40,44080,50700,0.3854506105818549
1431,1465,89,1780,31600,147760,0.7768991407825395
1431,1471,17,340,35760,145300,0.6053208666300378
1431,1475,10,200,39340,142760,0.5504571011940145
1431,1477,2,40,36380,43400,0.3854506105818549
1431,1480,183,3660,42540,140280,0.8516898812222033
1431,1482,21,420,44040,145800,0.6271957224548713
1431,1486,14,280,35820,126160,0.5852336270669158
1431,1489,40,800,40240,146260,0.6939596534072261
1431,1493,5,100,36000,49840,0.4790269285669295
1431,1498,3,60,36180,36640,0.42668859322200425
1431,1501,1,20,43060,43060,0.31600653265148854
1431,1502,1,20,35640,35640,0.31600653265148854
1431,1503,1,20,44500,44500,0.31600653265148854
1431,1511,1,20,35920,35920,0.31600653265148854
1431,1522,6,120,36460,50680,0.49777959356083784
1431,1525,1,20,36460,36460,0.31600653265148854
1431,1532,2,40,44800,45600,0.3854506105818549
1431,1533,8,160,43240,50480,0.527424910548402
1431,1539,2,40,50300,50380,0.3854506105818549
1431,1551,1,20,44500,44500,0.31600653265148854
1431,1552,2,40,50540,57580,0.3854506105818549
1431,1563,45,900,39480,145760,0.7061705572255972
1431,1572,2,40,45640,47020,0.3854506105818549
1431,1574,1,20,57740,57740,0.31600653265148854
1431,1578,21,420,35820,142540,0.6271957224548713
1431,1579,1,20,50480,50480,0.31600653265148854
1431,1585,3,60,57500,126280,0.42668859322200425
1431,1592,15,300,35720,126840,0.5923701214603585
1431,1625,1,20,50460,50460,0.31600653265148854
1431,1673,1,20,43360,43360,0.31600653265148854
1431,1674,3,60,50520,50600,0.42668859322200425
1431,1684,1,20,46920,46920,0.31600653265148854
1431,1704,1,20,46920,46920,0.31600653265148854
1431,1708,1,20,43320,43320,0.31600653265148854
1431,1711,3,60,50520,50600,0.42668859322200425
1431,1722,1,20,46940,46940,0.31600653265148854
1431,1730,1,20,49540,49540,0.31600653265148854
1431,1743,1,20,50000,50000,0.31600653265148854
1431,1750,7,140,118160,142200,0.5136570630934635
1431,1761,1,20,43360,43360,0.31600653265148854
1431,1768,1,20,57740,57740,0.31600653265148854
1431,1775,1,20,50640,50640,0.31600653265148854
1431,1780,1,20,43640,43640,0.31600653265148854
1431,1783,1,20,57560,57560,0.31600653265148854
1431,1795,1,20,43340,43340,0.31600653265148854
1431,1797,3,60,48100,49760,0.42668859322200425
1431,1802,2,40,44320,50020,0.3854506105818549
1431,1815,2,40,36240,50680,0.3854506105818549
1431,1819,2,40,57840,57860,0.3854506105818549
1431,1824,25,500,40280,145380,0.6452532963865709
1431,1835,30,600,43020,50700,0.6641428468550955
1431,1885,4,80,44800,45660,0.4561223208851435
1431,1895,3,60,43060,50760,0.42668859322200425
1431,1909,1,20,50000,50000,0.31600653265148854
1431,1916,3,60,43120,46940,0.42668859322200425
1434,1435,3,60,32080,118100,0.42668859322200425
1434,1437,8,160,37000,142440,0.527424910548402
1434,1439,8,160,35140,142020,0.527424910548402
1434,1441,2,40,36840,36900,0.3854506105818549
1434,1443,71,1420,35160,142580,0.7534607363477915
1434,1451,3,60,36680,57980,0.42668859322200425
1434,1457,6,120,32080,45400,0.49777959356083784
1434,1459,4,80,35040,44860,0.4561223208851435
1434,1465,1,20,52780,52780,0.31600653265148854
1434,1471,4,80,42520,56720,0.4561223208851435
1434,1475,158,3160,32080,147840,0.8364477876126988
1434,1477,3,60,35060,131640,0.42668859322200425
1434,1480,64,1280,35040,140320,0.7426951258734927
1434,1482,1,20,42540,42540,0.31600653265148854
1434,1486,2,40,35120,129480,0.3854506105818549
1434,1489,14,280,43720,143020,0.5852336270669158
1434,1493,2,40,45240,45280,0.3854506105818549
1434,1498,1,20,43540,43540,0.31600653265148854
1434,1500,4,80,49940,133900,0.4561223208851435
1434,1501,11,220,44920,132840,0.5603028760303012
1434,1502,2,40,35660,132840,0.3854506105818549
1434,1511,1,20,35600,35600,0.31600653265148854
1434,1519,25,500,43580,49760,0.6452532963865709
1434,1522,1,20,35600,35600,0.31600653265148854
1434,1528,1,20,49160,49160,0.31600653265148854
1434,1532,58,1160,43340,132120,0.7324859096940134
1434,1533,172,3440,43340,137140,0.8452572617324509
1434,1539,5,100,43820,47320,0.4790269285669295
1434,1545,1,20,133940,133940,0.31600653265148854
1434,1546,8,160,36500,132820,0.527424910548402
1434,1548,6,120,129700,133880,0.49777959356083784
1434,1552,3,60,44220,57940,0.42668859322200425
1434,1560,25,500,47400,49780,0.6452532963865709
1434,1563,8,160,45340,137260,0.527424910548402
1434,1572,7,140,48040,49540,0.5136570630934635
1434,1578,9,180,35540,144480,0.5395785563918402
1434,1579,2,40,47320,130020,0.3854506105818549
1434,1585,7,140,42840,133160,0.5136570630934635
1434,1592,4,80,58240,137700,0.4561223208851435
1434,1632,2,40,126020,126040,0.3854506105818549
1434,1664,2,40,130620,133140,0.3854506105818549
1434,1673,1,20,50120,50120,0.31600653265148854
1434,1675,3,60,131640,135920,0.42668859322200425
1434,1684,11,220,133260,136980,0.5603028760303012
1434,1688,3,60,50400,135860,0.42668859322200425
1434,1695,5,100,50320,133880,0.4790269285669295
1434,1696,3,60,133900,136560,0.42668859322200425
1434,1698,1,20,133820,133820,0.31600653265148854
1434,1700,2,40,44880,50040,0.3854506105818549
1434,1704,1,20,47000,47000,0.31600653265148854
1434,1708,2,40,43720,50300,0.3854506105818549
1434,1712,1,20,50780,50780,0.31600653265148854
1434,1714,1,20,43340,43340,0.31600653265148854
1434,1730,4,80,43520,129920,0.4561223208851435
1434,1750,3,60,118760,142660,0.42668859322200425
1434,1751,1,20,129980,129980,0.31600653265148854
1434,1753,1,20,43180,43180,0.31600653265148854
1434,1757,1,20,58000,58000,0.31600653265148854
1434,1763,2,40,47260,47320,0.3854506105818549
1434,1765,12,240,133720,137120,0.5692950854209973
1434,1766,4,80,43120,57840,0.4561223208851435
1434,1768,1,20,43180,43180,0.31600653265148854
1434,1774,3,60,50580,137140,0.42668859322200425
1434,1789,1,20,57820,57820,0.31600653265148854
1434,1792,1,20,57840,57840,0.31600653265148854
1434,1796,1,20,57600,57600,0.31600653265148854
1434,1797,1,20,50740,50740,0.31600653265148854
1434,1802,1,20,47280,47280,0.31600653265148854
1434,1815,3,60,44200,46540,0.42668859322200425
1434,1821,17,340,46060,137080,0.6053208666300378
1434,1822,4,80,46960,50340,0.4561223208851435
1434,1824,3,60,36700,52860,0.42668859322200425
1434,1833,1,20,43820,43820,0.31600653265148854
1434,1835,2,40,45160,133160,0.3854506105818549
1434,1837,5,100,35060,131840,0.4790269285669295
1434,1838,1,20,50780,50780,0.31600653265148854
1434,1843,1,20,129540,129540,0.31600653265148854
1434,1847,2,40,43020,133920,0.3854506105818549
1434,1851,1,20,129540,129540,0.31600653265148854
1434,1857,25,500,46060,126140,0.6452532963865709
1434,1861,1,20,43520,43520,0.31600653265148854
1434,1880,1,20,57820,57820,0.31600653265148854
1434,1885,239,4780,43340,136880,0.8793941857091545
1434,1889,1,20,43500,43500,0.31600653265148854
1434,1895,20,400,46060,132600,0.6221438686148343
1434,1909,1,20,47060,47060,0.31600653265148854
1434,1911,1,20,50200,50200,0.31600653265148854
1434,1912,22,440,47000,137060,0.6320130653029771
1435,1437,6,120,50940,143040,0.49777959356083784
1435,1439,11,220,35920,141660,0.5603028760303012
1435,1441,6,120,36480,145700,0.49777959356083784
1435,1443,15,300,37360,143100,0.5923701214603585
1435,1452,3,60,35620,36360,0.42668859322200425
1435,1458,8,160,34980,35400,0.527424910548402
1435,1459,2,40,35140,35160,0.3854506105818549
1435,1465,5,100,36480,145160,0.4790269285669295
1435,1468,1,20,36460,36460,0.31600653265148854
1435,1471,70,1400,35520,145200,0.7519894841151616
1435,1475,9,180,32060,143100,0.5395785563918402
1435,1477,6,120,35140,36020,0.49777959356083784
1435,1480,3,60,36480,126980,0.42668859322200425
1435,1482,16,320,35920,142020,0.599047349799237
1435,1486,9,180,35920,126720,0.5395785563918402
1435,1489,4,80,36800,142640,0.4561223208851435
1435,1498,1,20,35720,35720,0.31600653265148854
1435,1502,1,20,32080,32080,0.31600653265148854
1435,1503,1,20,56640,56640,0.31600653265148854
1435,1511,2,40,35220,36420,0.3854506105818549
1435,1522,4,80,35140,35460,0.4561223208851435
1435,1548,1,20,35400,35400,0.31600653265148854
1435,1562,1,20,57520,57520,0.31600653265148854
1435,1563,5,100,56720,126980,0.4790269285669295
1435,1572,1,20,57400,57400,0.31600653265148854
1435,1574,1,20,57760,57760,0.31600653265148854
1435,1578,133,2660,35520,147780,0.8185756774942119
1435,1585,15,300,56720,142300,0.5923701214603585
1435,1592,77,1540,35440,147800,0.7618754790909279
1435,1630,1,20,57920,57920,0.31600653265148854
1435,1750,19,380,117880,143040,0.6168334979266865
1435,1824,19,380,34840,145280,0.6168334979266865
1437,1439,29,580,35800,147020,0.6606299868059717
1437,1441,3,60,36680,142220,0.42668859322200425
1437,1443,38,760,45060,147160,0.6886424802963587
1437,1451,5,100,35320,36400,0.4790269285669295
1437,1452,3,60,36160,136980,0.42668859322200425
1437,1453,46,920,36020,46720,0.7084493558277674
1437,1457,116,2320,32120,143040,0.8043864852091862
1437,1458,2,40,130200,130240,0.3854506105818549
1437,1459,1,20,44720,44720,0.31600653265148854
1437,1465,129,2580,57060,147680,0.8154073244520406
1437,1468,1,20,131460,131460,0.31600653265148854
1437,1471,19,380,47300,147600,0.6168334979266865
1437,1475,18,360,42500,144640,0.611236718692761
1437,1477,6,120,36400,130260,0.49777959356083784
1437,1480,27,540,36520,140160,0.6532261284030567
1437,1482,22,440,35620,142980,0.6320130653029771
1437,1483,7,140,130640,132500,0.5136570630934635
1437,1486,17,340,36460,130940,0.6053208666300378
1437,1489,49,980,35360,142860,0.7150001165678843
1437,1493,9,180,35820,135880,0.5395785563918402
1437,1498,16,320,36160,137120,0.599047349799237
1437,1501,11,220,35200,132620,0.5603028760303012
1437,1502,3,60,36000,45840,0.42668859322200425
1437,1503,19,380,35840,133800,0.6168334979266865
1437,1520,7,140,32180,133960,0.5136570630934635
1437,1525,1,20,36120,36120,0.31600653265148854
1437,1532,1,20,129480,129480,0.31600653265148854
1437,1533,6,120,34580,130540,0.49777959356083784
1437,1539,5,100,44140,49540,0.4790269285669295
1437,1546,1,20,133860,133860,0.31600653265148854
1437,1549,1,20,50040,50040,0.31600653265148854
1437,1552,6,120,44420,129660,0.49777959356083784
1437,1558,1,20,50060,50060,0.31600653265148854
1437,1560,1,20,50560,50560,0.31600653265148854
1437,1563,764,15280,35380,147740,1.0
1437,1567,3,60,48960,49400,0.42668859322200425
1437,1578,17,340,35760,142460,0.6053208666300378
1437,1579,1,20,46180,46180,0.31600653265148854
1437,1585,67,1340,32200,143000,0.7474463034532008
1437,1592,6,120,126140,144800,0.49777959356083784
1437,1594,1,20,57860,57860,0.31600653265148854
1437,1613,1,20,129600,129600,0.31600653265148854
1437,1637,4,80,130280,132660,0.4561223208851435
1437,1650,1,20,56920,56920,0.31600653265148854
1437,1664,3,60,130160,132220,0.42668859322200425
1437,1665,9,180,134140,136800,0.5395785563918402
1437,1666,20,400,134420,136480,0.6221438686148343
1437,1668,1,20,36660,36660,0.31600653265148854
1437,1675,5,100,131900,132580,0.4790269285669295
1437,1684,13,260,43520,133220,0.577569991929958
1437,1688,2,40,132800,132820,0.3854506105818549
1437,1695,35,700,129820,136660,0.6801182582519162
1437,1696,1,20,132760,132760,0.31600653265148854
1437,1697,4,80,43200,130980,0.4561223208851435
1437,1698,4,80,130320,130380,0.4561223208851435
1437,1700,5,100,44460,57980,0.4790269285669295
1437,1705,1,20,50720,50720,0.31600653265148854
1437,1710,1,20,43780,43780,0.31600653265148854
1437,1723,1,20,43580,43580,0.31600653265148854
1437,1749,1,20,129820,129820,0.31600653265148854
1437,1750,6,120,125860,142920,0.49777959356083784
1437,1751,1,20,130260,130260,0.31600653265148854
1437,1757,2,40,43520,129820,0.3854506105818549
1437,1763,1,20,43780,43780,0.31600653265148854
1437,1764,1,20,133280,133280,0.31600653265148854
1437,1780,6,120,43760,50520,0.49777959356083784
1437,1797,1,20,132920,132920,0.31600653265148854
1437,1798,1,20,50400,50400,0.31600653265148854
1437,1802,1,20,43560,43560,0.31600653265148854
